player,team,pos,pos_rank,tier,pts_proj,vor,score,ppg_proj,adp_overall
Kendre Miller,,RB,62,8,86.6367857142857,-119.5100892857143,-123.5100892857143,5.250714285714285,
Dontayvion Wicks,,WR,88,8,112.61864705882353,-120.604,-124.604,6.825372549019607,
Gabe Davis,,WR,89,8,112.187625,-121.03502205882353,-125.03502205882353,6.79925,
Brock Wright,,TE,60,8,51.14999999999999,-121.07700000000001,-125.07700000000001,3.0999999999999996,
Ty Johnson,,RB,63,8,84.75374999999998,-121.39312500000001,-125.39312500000001,5.136590909090908,
Drew Lock,,QB,42,8,168.26699999999997,-121.72352500000002,-125.72352500000002,10.197999999999999,
Samaje Perine,,RB,64,8,84.34945588235293,-121.79741911764707,-125.79741911764707,5.112088235294117,
Gerald Everett,,TE,61,8,50.061,-122.166,-126.166,3.034,
Harrison Bryant,,TE,62,8,49.852,-122.375,-126.375,3.021333333333333,
Mo Alie-Cox,,TE,63,8,48.834107142857135,-123.39289285714287,-127.39289285714287,2.959642857142857,
Curtis Samuel,,WR,90,8,109.64492647058823,-123.5777205882353,-127.5777205882353,6.645147058823529,
Hayden Hurst,,TE,64,8,48.565,-123.662,-127.662,2.9433333333333334,
Tyler Huntley,,QB,43,8,165.4884,-124.50212499999998,-128.50212499999998,10.0296,
Emari Demercado,,RB,65,8,81.58384615384614,-124.56302884615386,-128.56302884615386,4.944475524475523,
Kylen Granson,,TE,65,8,47.334374999999994,-124.89262500000001,-128.892625,2.8687499999999995,
Marvin Mims Jr.,,WR,91,8,108.32364583333333,-124.8990012254902,-128.8990012254902,6.565069444444444,
Ray-Ray McCloud,,WR,92,8,107.73917647058823,-125.48347058823529,-129.4834705882353,6.529647058823529,
Tyler Johnson,,WR,93,8,107.715,-125.50764705882352,-129.50764705882352,6.528181818181818,
Darnell Washington,,TE,66,8,45.897499999999994,-126.32950000000001,-130.3295,2.7816666666666663,
Khalil Herbert,,RB,66,8,79.48124999999999,-126.665625,-130.665625,4.817045454545454,
Braelon Allen,,RB,67,8,78.97288235294117,-127.17399264705882,-131.1739926470588,4.786235294117646,
Davis Allen,,TE,67,8,45.024375000000006,-127.202625,-131.202625,2.7287500000000002,
Emanuel Wilson,,RB,68,8,78.59892857142857,-127.54794642857142,-131.54794642857144,4.763571428571429,
Bub Means,,WR,94,8,105.57525,-127.64739705882353,-131.64739705882351,6.398499999999999,
Clyde Edwards-Helaire,,RB,69,8,78.0971052631579,-128.0497697368421,-132.0497697368421,4.733157894736842,
Daniel Bellinger,,TE,68,8,43.361607142857146,-128.86539285714287,-132.86539285714287,2.6279761904761907,
Jacob Kibodi,,RB,70,8,77.21175,-128.935125,-132.935125,4.6795,
Parker Washington,,WR,95,8,104.27999999999999,-128.94264705882352,-132.94264705882352,6.319999999999999,
Andrei Iosivas,,WR,96,8,104.2314705882353,-128.99117647058824,-132.99117647058824,6.317058823529412,
Cade Stover,,TE,69,8,43.175549999999994,-129.05145000000002,-133.05145000000002,2.6167,
Brevin Jordan,,TE,70,8,42.61125,-129.61575,-133.61575,2.5825,
Tyler Boyd,,WR,97,8,102.45335294117646,-130.76929411764706,-134.76929411764706,6.209294117647058,
